Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Number_of_Screens,Revenue(INR),Budget(INR),Budget_Category,Revenue_Category,ROI,Revenue_per_screen,combined,Hit_Flop
553,1,0,0,12,1,0,0,260,710,103,5,5000000,85000,Low,Low,57.8235294117647,1000000.0,554,0
777,0,0,0,5,1,0,1,282,754,49,75,15000000,825000,Low,Low,17.181818181818183,200000.0,611,0
1146,0,0,0,13,0,0,0,328,689,461,525,75000000,56700000,Medium,Medium,0.32275132275132273,142857.14285714287,685,1
1233,0,0,0,5,1,0,0,0,303,54,800,210000000,4500000,Medium,High,45.666666666666664,262500.0,0,1
277,0,0,0,1,1,1,1,1,4,108,1,1000000,1075000,Low,Low,-0.06976744186046512,1000000.0,1,0
1411,1,0,0,3,1,1,1,2,316,98,10,5000000,170000,Low,Low,28.41176470588235,500000.0,2,0
418,0,0,0,1,1,0,1,3,612,159,2,1500000,35000,Low,Low,41.857142857142854,750000.0,3,0
524,0,0,0,5,0,1,1,4,778,51,30,15000000,825000,Low,Low,17.181818181818183,500000.0,4,0
543,0,1,0,0,0,1,0,5,3,8,1550,520000000,1945820000,High,High,-0.7327604814422711,335483.87096774194,5,1
1466,0,0,0,5,0,1,0,5,7,499,500,180000000,875785000,High,High,-0.7944701039638724,360000.0,6,1
990,0,0,0,5,0,0,0,5,424,8,675,370000000,525785000,High,High,-0.296290308776401,548148.1481481482,7,1
493,1,0,0,8,0,0,0,5,443,226,650,300000000,1054800000,High,High,-0.7155858930602957,461538.46153846156,8,1
358,0,0,0,5,0,0,0,5,554,386,4250,1320000000,7024750000,High,High,-0.8120929570447347,310588.23529411765,9,1
17,0,0,0,5,0,0,0,5,671,502,1750,770000000,3491035000,High,High,-0.7794350386060295,440000.0,10,1
1166,1,0,0,5,0,0,0,5,671,33,3600,1220000000,6160362500,High,High,-0.8019597061049573,338888.8888888889,10,1
1282,0,0,0,5,0,0,0,5,683,8,600,280000000,979080000,High,High,-0.7140172406749193,466666.6666666667,11,1
1471,1,0,0,13,0,0,0,5,713,416,2550,710000000,1729717500,High,High,-0.5895283478371468,278431.3725490196,12,1
401,1,0,1,0,0,0,0,5,992,386,3650,1750000000,5243760000,High,High,-0.6662700047294308,479452.05479452055,13,1
1229,0,0,0,13,1,1,1,6,660,493,5,5500000,350000,Low,Low,14.714285714285714,1100000.0,14,0
576,1,0,0,5,1,1,1,7,9,84,5,6500000,575000,Low,Low,10.304347826086957,1300000.0,15,0
1672,0,0,0,13,0,0,0,8,708,444,20,6500000,4000000,Medium,Low,0.625,325000.0,16,0
1363,1,0,0,8,1,0,0,9,469,227,30,17500000,525000,Low,Low,32.333333333333336,583333.3333333334,17,0
439,0,0,0,8,1,1,0,10,10,453,25,12500000,1375000,Low,Low,8.090909090909092,500000.0,18,0
1542,1,0,0,13,0,1,0,11,1028,138,325,40000000,10000000,Medium,Medium,3.0,123076.92307692308,19,0
986,1,0,0,3,1,1,0,12,121,450,5,1000000,300000,Low,Low,2.3333333333333335,200000.0,20,0
826,1,0,0,3,1,1,1,13,691,578,50,9000000,600000,Low,Low,14.0,180000.0,21,0
619,0,0,0,1,1,1,0,14,182,103,2,1500000,500000,Low,Low,2.0,750000.0,22,0
389,0,0,0,5,0,0,0,15,118,54,525,110000000,208200000,High,Medium,-0.47166186359269935,209523.80952380953,23,1
1159,1,0,0,11,0,1,0,15,245,499,500,210000000,37700000,Medium,High,4.570291777188329,420000.0,24,1
1165,1,0,0,3,0,0,0,15,251,522,400,120000000,100620000,High,Medium,0.19260584376863446,300000.0,25,1
1429,0,0,0,11,1,1,0,15,327,462,110,50000000,52800000,Medium,Medium,-0.05303030303030303,454545.45454545453,26,0
587,1,0,0,11,0,0,0,15,523,523,1000,200000000,391500000,High,High,-0.4891443167305236,200000.0,27,1
993,1,0,0,12,0,1,1,15,537,230,75,32500000,5800000,Medium,Medium,4.603448275862069,433333.3333333333,28,0
632,1,0,0,11,0,1,0,15,713,610,350,100000000,195160000,High,Medium,-0.4875999180159869,285714.28571428574,29,1
461,1,0,0,3,0,1,0,15,789,462,140,35000000,25000000,Medium,Medium,0.4,250000.0,30,0
84,0,0,0,8,0,1,0,15,859,201,200,40000000,23100000,Medium,Medium,0.7316017316017316,200000.0,31,0
918,0,0,0,5,1,1,1,16,319,483,40,17500000,425000,Low,Low,40.1764705882353,437500.0,32,0
1308,1,0,0,13,1,1,1,17,405,235,1250,250000000,134612500,High,High,0.8571826539140125,200000.0,33,1
281,1,0,0,0,1,1,0,18,246,60,250,45000000,6300000,Medium,Medium,6.142857142857143,180000.0,34,0
1209,1,1,0,0,0,0,0,19,12,386,1900,550000000,485600000,High,High,0.1326194398682043,289473.6842105263,35,1
529,0,1,0,13,0,1,0,19,17,499,1100,340000000,128792500,High,High,1.6399052739872275,309090.9090909091,36,1
820,1,0,0,5,0,0,0,19,160,523,750,390000000,76653750,Medium,High,4.08781370774424,520000.0,37,1
441,0,0,0,0,0,0,0,19,294,161,750,430000000,180660000,High,High,1.3801616295804273,573333.3333333334,38,1
577,0,0,0,5,0,0,0,19,476,8,650,220000000,836710000,High,High,-0.7370654109548112,338461.53846153844,39,1
1249,1,1,0,0,0,0,0,19,476,8,1350,550000000,495722500,High,High,0.10949170150638714,407407.4074074074,39,1
379,0,0,0,5,0,0,0,19,683,8,1100,480000000,521750000,High,High,-0.08001916626736943,436363.63636363635,40,1
241,1,0,0,13,0,0,0,19,721,610,350,100000000,327100000,High,Medium,-0.6942830938550902,285714.28571428574,41,1
444,0,0,0,13,0,0,0,19,721,386,1350,310000000,511940000,High,High,-0.39446028831503693,229629.62962962964,41,1
266,1,0,0,3,0,0,0,19,822,499,475,125000000,637405000,High,High,-0.8038923447415693,263157.8947368421,42,1
735,1,0,0,11,0,0,0,19,822,499,950,270000000,485250000,High,High,-0.4435857805255023,284210.5263157895,42,1
435,1,0,0,11,0,1,0,19,959,610,1000,400000000,871517500,High,High,-0.5410304440243598,400000.0,43,1
99,1,0,0,5,0,0,0,19,975,201,1650,340000000,230320000,High,High,0.47620701632511286,206060.60606060605,44,1
134,1,0,0,5,1,1,1,20,658,550,1,1000000,140000,Low,Low,6.142857142857143,1000000.0,45,0
1127,0,0,0,5,0,1,1,21,580,443,8,1000000,16000,Low,Low,61.5,125000.0,46,0
37,1,0,0,5,1,1,1,22,606,381,8,2000000,350000,Low,Low,4.714285714285714,250000.0,47,0
646,0,0,0,11,0,0,0,23,380,463,300,50000000,8200000,Medium,Medium,5.097560975609756,166666.66666666666,48,0
1449,1,0,0,5,1,0,1,24,787,627,6,9000000,72500,Low,Low,123.13793103448276,1500000.0,49,0
340,1,0,0,13,1,0,0,25,689,48,350,75000000,36400000,Medium,Medium,1.0604395604395604,214285.7142857143,50,1
579,1,0,0,8,1,0,0,26,100,612,225,60000000,7200000,Medium,Medium,7.333333333333333,266666.6666666667,51,1
376,1,0,0,13,0,0,0,26,510,193,175,42500000,3400000,Medium,Medium,11.5,242857.14285714287,52,0
