Feature,Importance
Number_of_Screens,0.7482317451861037
Revenue_per_screen,0.13964072820198697
Budget(INR),0.07984918114492692
Hit_Flop,0.015534086034528187
ROI,0.005834058784899223
Director,0.0025311224378996473
Music_Director,0.001951399852119178
combined,0.0018556255556091384
Lead_Star,0.001486423133010383
Genre,0.0009569043271079454
New_Actor,0.0007201673966261522
Whether_Franchise,0.00035446201197062495
New_Music_Director,0.000311828171199077
Release_Period,0.00027618073552315665
New_Director,0.00020721854293524546
Whether_Remake,0.0001773486960261627
Budget_Category,8.151978752826262e-05
