Feature,Importance,Std
Number_of_Screens,2.072817325422237,0.16601334375702914
Revenue_per_screen,0.5956194746618556,0.11437868111637817
Budget(INR),0.040182284710154816,0.003341610824767559
Hit_Flop,0.02042159193131383,0.0020368731534959918
ROI,0.005588305894721912,0.0010946895245147249
Director,0.00014211088426535623,0.000565934805175266
Music_Director,0.00010712382630956307,0.0005070237921971378
Lead_Star,7.96383927848865e-05,0.00034599431971850554
Whether_Remake,-1.216857515973224e-07,2.3070224410671287e-06
Whether_Franchise,-9.817127387012903e-06,3.547210108801075e-05
Budget_Category,-1.203296546790078e-05,1.506084354408007e-05
New_Music_Director,-4.955584425162529e-05,0.00019089780242282164
combined,-6.62873465941849e-05,0.0003816152408599513
New_Actor,-8.383674054586176e-05,0.00020255947836989995
Release_Period,-0.00011696320805559823,0.0001132725761241358
New_Director,-0.0001273206076404354,5.9535874000363786e-05
Genre,-0.00022548991460621392,0.0002169350307652548
