,Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Number_of_Screens,Revenue(INR),Budget(INR),ROI,Revenue_per_screen,combined,Hit_Flop
Movie_Name,239566.0723270441,3.200953136305446,1.4120136917682438,-0.8018728780542091,84.11997968497802,12.79578811153781,2.916064173206433,4.530781432626478,2837.563833695103,-2155.9204486002095,648.7333764679667,-17117.781360271605,-5592970297.94206,-14767761917.512838,-13.270798016670586,-6784886.735080559,5651.103678966998,-5.277217955139978
Release_Period,3.200953136305446,0.2340676657204884,-0.006415233483608824,-0.004362859687204315,0.06699539433405699,0.011103342238548374,0.015447417487616185,0.00812392163410702,3.29871987532699,0.5788737685757254,-0.5260404491567876,-48.317925919741754,-17886240.946944408,-39734582.33373892,-0.41934058534000945,-34142.344301846184,6.5151778260143605,-0.013203720710190894
Whether_Remake,1.4120136917682438,-0.006415233483608824,0.03959342127233261,-0.001996716201925739,-0.048819363277118895,-0.008719457895029774,-0.008635971503311581,-0.009950186452941477,-4.221216675015307,0.4468776089497386,0.6179057438637501,33.76658596315466,9297021.709940454,17096709.582964595,-0.5686707436553937,-14001.16281313676,-8.622841876774086,0.01762606445149442
Whether_Franchise,-0.8018728780542091,-0.004362859687204315,-0.001996716201925739,0.046038570712973945,-0.023020676796348782,-0.007668920799243036,-0.016167835476150697,-0.004593142984360218,0.22676017142539154,1.757062948739355,0.38129556965547917,57.76331886235877,12762183.290894412,34899729.77190265,-0.6365389219044993,-17845.9963731783,0.4655980408526737,0.021743335003061137
Genre,84.11997968497802,0.06699539433405699,-0.048819363277118895,-0.023020676796348782,14.459436397283937,-0.0019866282629264222,0.043360396838648826,-0.0220383202537987,-36.988595758891336,11.127398842322018,6.406076070017289,19.598150776423438,-16659446.146059433,-67855012.45446159,3.8502252769864422,-138645.09985548042,-77.12730005009182,0.11957651527800968
New_Actor,12.79578811153781,0.011103342238548374,-0.008719457895029774,-0.007668920799243036,-0.0019866282629264222,0.19642086881504917,0.056255565759447894,0.056267740858240184,2.6511771581232235,6.590250180887173,-3.637299980519842,-96.35494935158906,-26965435.581552293,-52412060.38742624,2.3537719599063425,42420.59883214471,5.314064674124782,-0.07982586130127454
New_Director,2.916064173206433,0.015447417487616185,-0.008635971503311581,-0.016167835476150697,0.043360396838648826,0.056255565759447894,0.24976867312294807,0.05414718650859918,5.496382256358888,-1.7218887404686343,0.45672517671285967,-122.84824261145435,-36028508.50691543,-71577566.19421093,3.203339556156949,37096.56579765586,10.985551288473314,-0.08020155006400628
New_Music_Director,4.530781432626478,0.00812392163410702,-0.009950186452941477,-0.004593142984360218,-0.0220383202537987,0.056267740858240184,0.05414718650859918,0.22007986864807622,7.815717704680788,2.6733205320866014,-1.4478884900094604,-84.05918906884843,-26766244.8690655,-47118810.510398224,1.2184610822095117,33852.66863672262,15.940891634663553,-0.07432445594701396
Lead_Star,2837.563833695103,3.29871987532699,-4.221216675015307,0.22676017142539154,-36.988595758891336,2.6511771581232235,5.496382256358888,7.815717704680788,51080.74133689536,3411.6673234262803,1865.379979963266,-4845.86920465298,-2812671354.84499,-5014024775.9811325,-58.17881827931616,-2758632.012977301,102412.60840429676,-6.93431847275561
Director,-2155.9204486002095,0.5788737685757254,0.4468776089497386,1.757062948739355,11.127398842322018,6.590250180887173,-1.7218887404686343,2.6733205320866014,3411.6673234262803,90935.3257360717,2717.477279178494,-2379.911599042688,-1023205148.9188529,-1099539230.6160727,61.103027544714905,-1499208.7330113077,7196.137964045195,-1.6255510101853385
Music_Director,648.7333764679667,-0.5260404491567876,0.6179057438637501,0.38129556965547917,6.406076070017289,-3.637299980519842,0.45672517671285967,-1.4478884900094604,1865.379979963266,2717.477279178494,33710.50525651193,7464.731901541717,2389251679.354858,5787943385.618548,-214.7419209409455,-6144423.183033238,3760.548227305616,4.385242736683919
Number_of_Screens,-17117.781360271605,-48.317925919741754,33.76658596315466,57.76331886235877,19.598150776423438,-96.35494935158906,-122.84824261145435,-84.05918906884843,-4845.86920465298,-2379.911599042688,7464.731901541717,613422.8038904661,171251504591.4385,372687608989.26874,-7200.5883480342645,-192345682.91520578,-10164.539388879615,242.66938971447658
Revenue(INR),-5592970297.94206,-17886240.946944408,9297021.709940454,12762183.290894412,-16659446.146059433,-26965435.581552293,-36028508.50691543,-26766244.8690655,-2812671354.84499,-1023205148.9188529,2389251679.354858,171251504591.4385,5.932382150359663e+16,1.2612341651890282e+17,-1611156713.3491285,-34523655955567.457,-5892277274.16931,65824483.6105776
Budget(INR),-14767761917.512838,-39734582.33373892,17096709.582964595,34899729.77190265,-67855012.45446159,-52412060.38742624,-71577566.19421093,-47118810.510398224,-5014024775.9811325,-1099539230.6160727,5787943385.618548,372687608989.26874,1.2612341651890282e+17,3.7671462664408365e+17,-3423762183.633914,-72692786384883.34,-10771968651.683746,115505272.5141962
ROI,-13.270798016670586,-0.41934058534000945,-0.5686707436553937,-0.6365389219044993,3.8502252769864422,2.3537719599063425,3.203339556156949,1.2184610822095117,-58.17881827931616,61.103027544714905,-214.7419209409455,-7200.5883480342645,-1611156713.3491285,-3423762183.633914,4271.667101527486,94406576.52255674,-138.1418102286495,-3.5750529437443714
Revenue_per_screen,-6784886.735080559,-34142.344301846184,-14001.16281313676,-17845.9963731783,-138645.09985548042,42420.59883214471,37096.56579765586,33852.66863672262,-2758632.012977301,-1499208.7330113077,-6144423.183033238,-192345682.91520578,-34523655955567.457,-72692786384883.34,94406576.52255674,3418226746462.3486,-6219221.738568721,-96388.69401349017
combined,5651.103678966998,6.5151778260143605,-8.622841876774086,0.4655980408526737,-77.12730005009182,5.314064674124782,10.985551288473314,15.940891634663553,102412.60840429676,7196.137964045195,3760.548227305616,-10164.539388879615,-5892277274.16931,-10771968651.683746,-138.1418102286495,-6219221.738568721,205540.04857794856,-13.893081761006275
Hit_Flop,-5.277217955139978,-0.013203720710190894,0.01762606445149442,0.021743335003061137,0.11957651527800968,-0.07982586130127454,-0.08020155006400628,-0.07432445594701396,-6.93431847275561,-1.6255510101853385,4.385242736683919,242.66938971447658,65824483.6105776,115505272.5141962,-3.5750529437443714,-96388.69401349017,-13.893081761006275,0.25014436188567996
