,Mean,Median,Std,Variance,Minimum,Maximum,Skewness,Kurtosis
Movie_Name,847.2948113207547,847.5,489.45487261548845,239566.072327044,0.0,1694.0,-0.0011783951714276822,-1.2005110816943554
Release_Period,0.6267688679245284,1.0,0.4838054006731297,0.23406766572048757,0.0,1.0,-0.5242035627570006,-1.7252106247928676
Whether_Remake,0.041273584905660375,0.0,0.19898095705954527,0.039593421272332605,0.0,1.0,4.612116852278977,19.271621859075744
Whether_Franchise,0.04834905660377359,0.0,0.21456600549242136,0.04603857071297379,0.0,1.0,4.211143821049185,15.733732281560727
Genre,5.939268867924528,5.0,3.8025565606949105,14.459436397283907,0.0,13.0,0.5575786048510238,-0.56680898353151
New_Actor,0.26827830188679247,0.0,0.4431939404087671,0.19642086881504978,0.0,1.0,1.0459982476467644,-0.9058876659198973
New_Director,0.4805424528301887,0.0,0.49976861958605173,0.2497686731229477,0.0,1.0,0.07788918811689577,-1.9939332743744915
New_Music_Director,0.3266509433962264,0.0,0.4691267085213514,0.22007986864807702,0.0,1.0,0.7392466953133897,-1.4535143234682322
Lead_Star,370.5566037735849,374.5,226.0104894399714,51080.74133689542,0.0,763.0,0.005911928934546644,-1.2781444215162372
Director,528.436320754717,532.5,301.55484697824323,90935.32573607168,0.0,1047.0,-0.030466129034606933,-1.170793062710085
Music_Director,318.8378537735849,353.5,183.6042081666756,33710.50525651194,0.0,629.0,-0.1640346217994155,-1.2424878675334656
Number_of_Screens,553.7948113207547,200.0,783.2131280120794,613422.8038904659,1.0,4600.0,2.071373342712055,4.4883701565336676
Revenue(INR),150129260.0235849,55000000.0,243564819.92191863,5.932382150359665e+16,325000.0,2100000000.0,3.2991722571988618,14.207896436868875
Budget(INR),237927585.8125,12400000.0,613770825.8332937,3.767146266440833e+17,7250.0,8016120000.0,5.810731437092892,47.84407767877871
ROI,14.012436257684367,2.0,65.35799187190108,4271.667101527487,-0.8807631160572337,1713.2857142857142,16.602924996771286,347.67694238109897
Revenue_per_screen,618210.0745087216,309384.1642228739,1848844.7058804987,3418226746462.3477,8125.0,60000000.0,22.710172679922238,666.9384497073888
combined,766.9245283018868,765.5,453.36524853361715,205540.04857794844,0.0,1551.0,0.013179161562861436,-1.2364689660678738
Hit_Flop,0.5017688679245284,1.0,0.5001443410513402,0.25014436188567934,0.0,1.0,-0.00707551597532728,-1.9999499370736833
