Feature,Importance
Number_of_Screens,0.7643475107882783
Revenue_per_screen,0.16333560753641002
Budget(INR),0.04556281093521817
Hit_Flop,0.013084415111240883
Director,0.003015470107029291
ROI,0.0026727374636804396
Music_Director,0.0015948650932074296
Movie_Name,0.0015513957869153045
combined,0.0014968732412705458
Lead_Star,0.0011718437103830455
Genre,0.000733400761524808
Whether_Franchise,0.0003991409462550647
Release_Period,0.0003233252532288777
New_Actor,0.000248845456761543
New_Director,0.00017975218335248875
New_Music_Director,0.0001649689911495232
Whether_Remake,0.00011703663409427342
