,Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Number_of_Screens,Revenue(INR),Budget(INR),ROI,Revenue_per_screen,combined,Hit_Flop
Movie_Name,1.0,0.013517486592727475,0.014498221689256154,-0.00763540278402694,0.04519712604414357,0.058987578688139426,0.011921075471758729,0.019731963191341646,0.025651005160256538,-0.014606755576104077,0.007218898825474701,-0.0446534336936537,-0.046915386323918354,-0.049158178743997596,-0.0004148448307437566,-0.007497725073845949,0.0254666835318508,-0.021557431549246858
Release_Period,0.013517486592727475,1.0,-0.06663927135562722,-0.0420280865344147,0.036416529326195504,0.051783237650381876,0.06388754336093812,0.035793556633131,0.030167972905092332,0.003967773245712617,-0.0059219644637119985,-0.1275139247789842,-0.15178673006381788,-0.1338109638240693,-0.01326164765328842,-0.03817000277445884,0.02970348007318964,-0.0545670226666067
Whether_Remake,0.014498221689256154,-0.06663927135562722,1.0,-0.046767473666593534,-0.06452156796631123,-0.09887446705623347,-0.08684217696548045,-0.10659321084711985,-0.09386367066260382,0.007447504354736896,0.01691328963078935,0.21666845118849742,0.1918305491057519,0.13998927930533547,-0.04372709945706127,-0.038058542850269515,-0.09558520576289906,0.17711220059474514
Whether_Franchise,-0.00763540278402694,-0.0420280865344147,-0.046767473666593534,1.0,-0.028215093171475678,-0.08064538556558619,-0.1507724463981613,-0.04563088479650997,0.004676029740449918,0.027155643042845564,0.009678726372649878,0.34372511319687254,0.24420216042616621,0.26500551169710296,-0.045390539854587644,-0.04498621455312538,0.0047863229721229325,0.20261420119199713
Genre,0.04519712604414357,0.036416529326195504,-0.06452156796631123,-0.028215093171475678,1.0,-0.001178818962277962,0.022816476719906095,-0.012354143684403445,-0.04303913809971279,0.009704019461016743,0.009175585320324003,0.006580508486166893,-0.017987479687869817,-0.029073680297194378,0.015492152315097528,-0.0197209761656319,-0.0447387883972231,0.06287454439263687
New_Actor,0.058987578688139426,0.051783237650381876,-0.09887446705623347,-0.08064538556558619,-0.001178818962277962,1.0,0.2539818600962543,0.27062973090307024,0.026467708302270857,0.04931076889415439,-0.04469950105955094,-0.2775877234857348,-0.24980381485879427,-0.19267757754416198,0.08125907438570591,0.05177052237010633,0.026447510265012825,-0.36012596914451656
New_Director,0.011921075471758729,0.06388754336093812,-0.08684217696548045,-0.1507724463981613,0.022816476719906095,0.2539818600962543,1.0,0.23094935471510528,0.048660811787718236,-0.011425357272808466,0.004977409108955104,-0.3138484631831901,-0.29598025543989,-0.2333467209883691,0.09806980082277693,0.040148034569836115,0.048484692465730846,-0.3208620983852964
New_Music_Director,0.019731963191341646,0.035793556633131,-0.10659321084711985,-0.04563088479650997,-0.012354143684403445,0.27062973090307024,0.23094935471510528,1.0,0.07371402233207389,0.0188970738999447,-0.016809791461103774,-0.2287784316891492,-0.23425168737920393,-0.16364318283972856,0.03973953703049757,0.03903033843350915,0.07495044625375522,-0.31677158707592434
Lead_Star,0.025651005160256538,0.030167972905092332,-0.09386367066260382,0.004676029740449918,-0.04303913809971279,0.026467708302270857,0.048660811787718236,0.07371402233207389,1.0,0.05005780090990432,0.044952731340698604,-0.02737556767428389,-0.051094697778391686,-0.03614528375040911,-0.003938561215047812,-0.006601836157403385,0.9994857448230985,-0.061345092911543324
Director,-0.014606755576104077,0.003967773245712617,0.007447504354736896,0.027155643042845564,0.009704019461016743,0.04931076889415439,-0.011425357272808466,0.0188970738999447,0.05005780090990432,1.0,0.04908140398465352,-0.010076612405641767,-0.013930985614276364,-0.005940707563979704,0.003100257136474996,-0.002689028195033338,0.05263624990730799,-0.010778018621925695
Music_Director,0.007218898825474701,-0.0059219644637119985,0.01691328963078935,0.009678726372649878,0.009175585320324003,-0.04469950105955094,0.004977409108955104,-0.016809791461103774,0.044952731340698604,0.04908140398465352,1.0,0.0519100712774884,0.053427482320582136,0.05136122839697773,-0.01789515658139368,-0.018100811852033365,0.04517730336984456,0.047754647943136656
Number_of_Screens,-0.0446534336936537,-0.1275139247789842,0.21666845118849742,0.34372511319687254,0.006580508486166893,-0.2775877234857348,-0.3138484631831901,-0.2287784316891492,-0.02737556767428389,-0.010076612405641767,0.0519100712774884,1.0,0.8977178851797326,0.7752803094337635,-0.14066606056705883,-0.13283179787632923,-0.028625924225970472,0.6194976742490081
Revenue(INR),-0.046915386323918354,-0.15178673006381788,0.1918305491057519,0.24420216042616621,-0.017987479687869817,-0.24980381485879427,-0.29598025543989,-0.23425168737920393,-0.051094697778391686,-0.013930985614276364,0.053427482320582136,0.8977178851797326,1.0,0.8436745053568611,-0.10121025649845923,-0.0766658201904205,-0.05336056116400194,0.5403529685887504
Budget(INR),-0.049158178743997596,-0.1338109638240693,0.13998927930533547,0.26500551169710296,-0.029073680297194378,-0.19267757754416198,-0.2333467209883691,-0.16364318283972856,-0.03614528375040911,-0.005940707563979704,0.05136122839697773,0.7752803094337635,0.8436745053568611,1.0,-0.08534904171835192,-0.06405966167727425,-0.0387115545763391,0.3762705328185329
ROI,-0.0004148448307437566,-0.01326164765328842,-0.04372709945706127,-0.045390539854587644,0.015492152315097528,0.08125907438570591,0.09806980082277693,0.03973953703049757,-0.003938561215047812,0.003100257136474996,-0.01789515658139368,-0.14066606056705883,-0.10121025649845923,-0.08534904171835192,1.0,0.781273538270036,-0.004662063830310579,-0.10936753365365866
Revenue_per_screen,-0.007497725073845949,-0.03817000277445884,-0.038058542850269515,-0.04498621455312538,-0.0197209761656319,0.05177052237010633,0.040148034569836115,0.03903033843350915,-0.006601836157403385,-0.002689028195033338,-0.018100811852033365,-0.13283179787632923,-0.0766658201904205,-0.06405966167727425,0.781273538270036,1.0,-0.007419717665737588,-0.10423901590717684
combined,0.0254666835318508,0.02970348007318964,-0.09558520576289906,0.0047863229721229325,-0.0447387883972231,0.026447510265012825,0.048484692465730846,0.07495044625375522,0.9994857448230985,0.05263624990730799,0.04517730336984456,-0.028625924225970472,-0.05336056116400194,-0.0387115545763391,-0.004662063830310579,-0.007419717665737588,1.0,-0.06127100513042283
Hit_Flop,-0.021557431549246858,-0.0545670226666067,0.17711220059474514,0.20261420119199713,0.06287454439263687,-0.36012596914451656,-0.3208620983852964,-0.31677158707592434,-0.061345092911543324,-0.010778018621925695,0.047754647943136656,0.6194976742490081,0.5403529685887504,0.3762705328185329,-0.10936753365365866,-0.10423901590717684,-0.06127100513042283,1.0
