,Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Number_of_Screens,Revenue(INR),Budget(INR),ROI,Revenue_per_screen,combined,Hit_Flop
Movie_Name,1.0,0.013529322056338647,0.014517931367957145,-0.007646862252518509,0.050276735418794696,0.058978397292425794,0.011916058613331573,0.01972655371381256,0.025937704063573288,-0.014608837485721934,0.013204652209358101,-0.02868220480389315,-0.03251647152764934,-0.032112986842230316,0.03928045977550988,-0.006196494526340041,0.025831210603833095,-0.0215633407616061
Release_Period,0.013529322056338647,1.0,-0.0666392713556273,-0.04202808653441463,0.035737430794227,0.0517832376503818,0.06388754336093803,0.03579355663313093,0.02986572134124187,0.004450859934683813,-0.006703978199681416,-0.06683553843457445,-0.08639181005504577,-0.08422026634035758,0.07954009677860162,-0.05653413280979838,0.029971933499064587,-0.054567022666606686
Whether_Remake,0.014517931367957145,-0.0666392713556273,1.0,-0.04676747366659357,-0.07871288047807357,-0.09887446705623322,-0.08684217696548031,-0.1065932108471197,-0.09658216003818129,0.007927980558780657,0.009936314187605199,0.21251232155526603,0.21841333659259257,0.221853386163939,-0.18799772117507538,-0.06934808411071207,-0.09662479453796718,0.17711220059474495
Whether_Franchise,-0.007646862252518509,-0.04202808653441463,-0.04676747366659357,1.0,-0.044134016110677056,-0.08064538556558601,-0.15077244639816115,-0.045630884796509966,0.004825748018815409,0.02824352027871678,0.008223500245364314,0.27352776093026476,0.23805657985995,0.25508168404077075,-0.23359728863220805,-0.15580397450448855,0.004946319939311254,0.20261420119199713
Genre,0.050276735418794696,0.035737430794227,-0.07871288047807357,-0.044134016110677056,1.0,0.018652510332222896,0.03414561806139825,-0.0008189846280236196,-0.043705457876103415,0.01202394064733542,0.0057257233158403194,0.07896519019941503,0.07035418768842168,0.02726618524948051,0.049231240770054356,-0.09211077741849862,-0.04368446555176835,0.0428000547620024
New_Actor,0.058978397292425794,0.0517832376503818,-0.09887446705623322,-0.08064538556558601,0.018652510332222896,1.0,0.25398186009625373,0.2706297309030699,0.026905019541060497,0.04878279034930543,-0.040430006650180136,-0.38037464141161104,-0.40816550198234,-0.41893907593685087,0.32213904914271657,0.1312486070375443,0.026951814995047865,-0.36012596914451656
New_Director,0.011916058613331573,0.06388754336093803,-0.08684217696548031,-0.15077244639816115,0.03414561806139825,0.25398186009625373,1.0,0.23094935471510517,0.049380702192867776,-0.01077715863821762,0.005799153811654651,-0.3348203101358785,-0.3546292750995859,-0.3969447871074591,0.3615570019992742,0.09042082720543153,0.04945762461986467,-0.32086209838529645
New_Music_Director,0.01972655371381256,0.03579355663313093,-0.1065932108471197,-0.045630884796509966,-0.0008189846280236196,0.2706297309030699,0.23094935471510517,1.0,0.07585775891239253,0.01853768387672022,-0.014335997709071742,-0.3312528125813408,-0.35851404191687836,-0.35836113785008916,0.2688060322213822,0.11302997758960992,0.07608284040810202,-0.3167715870759251
Lead_Star,0.025937704063573288,0.02986572134124187,-0.09658216003818129,0.004825748018815409,-0.043705457876103415,0.026905019541060497,0.049380702192867776,0.07585775891239253,1.0,0.04896047788240222,0.04479126088663037,-0.06506782346221157,-0.08686300967465904,-0.07367756137726811,0.0451681875301562,-0.013811210810124791,0.9999700136753903,-0.06237833432176016
Director,-0.014608837485721934,0.004450859934683813,0.007927980558780657,0.02824352027871678,0.01202394064733542,0.04878279034930543,-0.01077715863821762,0.01853768387672022,0.04896047788240222,1.0,0.05183495909108527,-0.0067191523049582825,-0.015599851840588822,0.006579060484704043,-0.03781178728047134,-0.01505392448802807,0.05294723146025039,-0.009469597279780152
Music_Director,0.013204652209358101,-0.006703978199681416,0.009936314187605199,0.008223500245364314,0.0057257233158403194,-0.040430006650180136,0.005799153811654651,-0.014335997709071742,0.04479126088663037,0.05183495909108527,1.0,0.025611759978665556,0.03082062718042039,0.03182117091266216,-0.03611051377550249,0.025412569661247754,0.04500348433767534,0.03837020659750311
